Running Task 116 with:
nB=300, nl=600, sy=400, cut_off=3
Using parameter file: /scratch/kloya/Koopman-offroad/scripts/koopman_training/results/../params.txt

                            < M A T L A B (R) >
                  Copyright 1984-2023 The MathWorks, Inc.
                  R2023b (23.2.0.2365128) 64-bit (glnxa64)
                              August 23, 2023

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
----------------------------------------------
--- MATLAB Script Running (SLURM Job Info) ---
----------------------------------------------
SLURM Job ID:       7118463
SLURM Array Task ID:116
Parameter nB:       300
Parameter nl:       600
Parameter sy:       400
Parameter cut_off:  3
Parameter tag:      nB300_nl600_sy400_c3
----------------------------------------------

et_initialize =

    3.0294

RSSID:: Iteration   26-  30 | sytem order:  22 | Gr Dist: 1.51 | check Dist: 1.52  
RSSID:: Iteration   51-  55 | sytem order:  22 | Gr Dist: 1.56 | check Dist: 1.56  
RSSID:: Iteration   76-  80 | sytem order:  22 | Gr Dist: 1.54 | check Dist: 1.54  
RSSID:: Iteration  101- 105 | sytem order:  23 | Gr Dist: 1.55 | check Dist: 1.54  
RSSID:: Iteration  126- 130 | sytem order:  23 | Gr Dist: 1.48 | check Dist: 1.48  
RSSID:: Iteration  151- 155 | sytem order:  23 | Gr Dist: 1.52 | check Dist: 1.52  
RSSID:: Iteration  176- 180 | sytem order:  23 | Gr Dist: 1.54 | check Dist: 1.54  
RSSID:: Iteration  201- 205 | sytem order:  23 | Gr Dist: 1.34 | check Dist: 1.33  
RSSID:: Iteration  226- 230 | sytem order:  23 | Gr Dist: 1.53 | check Dist: 1.53  
RSSID:: Iteration  251- 255 | sytem order:  23 | Gr Dist: 1.40 | check Dist: 1.40  
RSSID:: Iteration  276- 280 | sytem order:  23 | Gr Dist: 1.36 | check Dist: 1.35  
RSSID:: Iteration  301- 305 | sytem order:  23 | Gr Dist: 1.52 | check Dist: 1.52  
RSSID:: Iteration  326- 330 | sytem order:  23 | Gr Dist: 1.16 | check Dist: 1.16  
RSSID:: Iteration  351- 355 | sytem order:  23 | Gr Dist: 0.48 | check Dist: 0.48  
RSSID:: Iteration  376- 380 | sytem order:  23 | Gr Dist: 1.37 | check Dist: 1.37  
RSSID:: Iteration  401- 405 | sytem order:  23 | Gr Dist: 1.46 | check Dist: 1.46  
RSSID:: Iteration  426- 430 | sytem order:  23 | Gr Dist: 1.21 | check Dist: 1.21  
RSSID:: Iteration  451- 455 | sytem order:  23 | Gr Dist: 1.20 | check Dist: 1.20  
RSSID:: Iteration  476- 480 | sytem order:  23 | Gr Dist: 1.54 | check Dist: 1.54  
RSSID:: Iteration  501- 505 | sytem order:  23 | Gr Dist: 1.18 | check Dist: 1.18  
RSSID:: Iteration  526- 530 | sytem order:  24 | Gr Dist: 0.86 | check Dist: 0.86  
RSSID:: Iteration  551- 555 | sytem order:  24 | Gr Dist: 1.35 | check Dist: 1.35  
RSSID:: Iteration  576- 580 | sytem order:  24 | Gr Dist: 0.43 | check Dist: 0.44  
RSSID:: Iteration  601- 605 | sytem order:  24 | Gr Dist: 1.08 | check Dist: 1.07  
RSSID:: Iteration  626- 630 | sytem order:  24 | Gr Dist: 0.37 | check Dist: 0.38  
RSSID:: Iteration  651- 655 | sytem order:  23 | Gr Dist: 0.44 | check Dist: 0.44  
RSSID:: Iteration  676- 680 | sytem order:  23 | Gr Dist: 1.52 | check Dist: 1.52  
RSSID:: Iteration  701- 705 | sytem order:  23 | Gr Dist: 0.95 | check Dist: 0.95  
RSSID:: Iteration  726- 730 | sytem order:  24 | Gr Dist: 0.87 | check Dist: 1.27  
RSSID:: Iteration  751- 755 | sytem order:  24 | Gr Dist: 0.54 | check Dist: 0.53  
RSSID:: Iteration  776- 780 | sytem order:  24 | Gr Dist: 1.53 | check Dist: 1.53  
RSSID:: Iteration  801- 805 | sytem order:  24 | Gr Dist: 1.20 | check Dist: 1.20  
RSSID:: Iteration  826- 830 | sytem order:  24 | Gr Dist: 0.46 | check Dist: 0.45  
RSSID:: Iteration  851- 855 | sytem order:  24 | Gr Dist: 0.62 | check Dist: 0.61  
RSSID:: Iteration  876- 880 | sytem order:  24 | Gr Dist: 1.52 | check Dist: 1.52  
RSSID:: Iteration  901- 905 | sytem order:  24 | Gr Dist: 1.48 | check Dist: 1.48  
RSSID:: Iteration  926- 930 | sytem order:  24 | Gr Dist: 1.47 | check Dist: 1.47  
RSSID:: Iteration  951- 955 | sytem order:  24 | Gr Dist: 1.42 | check Dist: 1.42  
RSSID:: Iteration  976- 980 | sytem order:  24 | Gr Dist: 1.24 | check Dist: 1.24  
RSSID:: Iteration 1001-1005 | sytem order:  24 | Gr Dist: 1.08 | check Dist: 1.07  
RSSID:: Iteration 1026-1030 | sytem order:  24 | Gr Dist: 1.40 | check Dist: 1.40  
RSSID:: Iteration 1051-1055 | sytem order:  23 | Gr Dist: 1.51 | check Dist: 1.51  
RSSID:: Iteration 1076-1080 | sytem order:  23 | Gr Dist: 1.02 | check Dist: 1.03  
RSSID:: Iteration 1101-1105 | sytem order:  23 | Gr Dist: 1.50 | check Dist: 1.50  
RSSID:: Iteration 1126-1130 | sytem order:  23 | Gr Dist: 0.73 | check Dist: 0.73  
RSSID:: Iteration 1151-1155 | sytem order:  23 | Gr Dist: 1.43 | check Dist: 1.43  
RSSID:: Iteration 1176-1180 | sytem order:  23 | Gr Dist: 1.44 | check Dist: 1.44  
RSSID:: Iteration 1201-1205 | sytem order:  22 | Gr Dist: 1.41 | check Dist: 1.41  
RSSID:: Iteration 1226-1230 | sytem order:  22 | Gr Dist: 1.41 | check Dist: 1.41  
RSSID:: Iteration 1251-1255 | sytem order:  22 | Gr Dist: 0.61 | check Dist: 0.62  
RSSID:: Iteration 1276-1280 | sytem order:  21 | Gr Dist: 1.52 | check Dist: 1.52  
RSSID:: Iteration 1301-1305 | sytem order:  20 | Gr Dist: 1.54 | check Dist: 1.54  
RSSID:: Iteration 1326-1330 | sytem order:  19 | Gr Dist: 1.05 | check Dist: 1.05  
RSSID:: Iteration 1351-1355 | sytem order:  16 | Gr Dist: 1.53 | check Dist: 1.53  
RSSID:: Iteration 1376-1380 | sytem order:  15 | Gr Dist: 1.33 | check Dist: 1.34  
